City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.3333,9.9,79,67,15.26,NZ,2023-07-03 21:59:31
1,silifke,36.3778,33.9344,25.61,83,0,4.23,TR,2023-07-03 21:58:44
2,leningradskiy,69.3833,178.4167,13.57,44,100,4.1,RU,2023-07-03 21:59:31
3,srednekolymsk,67.45,153.6833,12.81,58,96,4.56,RU,2023-07-03 21:59:31
4,chokurdakh,70.6333,147.9167,4.67,56,99,5.41,RU,2023-07-03 21:59:31
5,butaritari,3.0707,172.7902,27.75,78,100,5.13,KI,2023-07-03 21:59:32
6,cape town,-33.9258,18.4232,13.4,88,65,2.57,ZA,2023-07-03 21:57:27
7,ribeira grande,38.5167,-28.7,20.99,77,100,0.45,PT,2023-07-03 21:59:32
8,san quintin,30.4833,-115.95,21.86,70,2,6.07,MX,2023-07-03 21:59:32
9,pavlogradka,54.2024,73.5592,19.27,55,88,4.22,RU,2023-07-03 21:59:33
10,twin falls,42.3505,-114.6445,28.85,22,71,7.69,US,2023-07-03 21:59:33
11,kazanskaya,45.4106,40.4361,21.58,72,22,1.92,RU,2023-07-03 21:59:33
12,albany,42.6001,-73.9662,26.24,84,97,0.69,US,2023-07-03 21:53:35
13,rikitea,-23.1203,-134.9692,22.9,73,76,7.15,PF,2023-07-03 21:59:33
14,kapaa,22.0752,-159.319,28.18,81,100,3.6,US,2023-07-03 21:59:34
15,sitka,57.0531,-135.33,17.01,63,72,2.66,US,2023-07-03 21:59:34
16,cabo san lucas,22.8909,-109.9124,30.9,81,100,3.6,MX,2023-07-03 21:59:34
17,mataura,-46.1927,168.8643,8.22,89,100,6.62,NZ,2023-07-03 21:59:35
18,caravelas,-17.7125,-39.2481,22.36,57,79,6.89,BR,2023-07-03 21:59:35
19,tiksi,71.6872,128.8694,3.34,69,96,1.77,RU,2023-07-03 21:59:35
20,mount gambier,-37.8333,140.7667,7.77,98,100,1.9,AU,2023-07-03 21:59:35
21,saskylakh,71.9167,114.0833,15.06,51,91,5.12,RU,2023-07-03 21:59:35
22,qaanaaq,77.484,-69.3632,4.32,89,23,1.18,GL,2023-07-03 21:54:38
23,bredasdorp,-34.5322,20.0403,10.79,87,100,2.77,ZA,2023-07-03 21:59:36
24,gornopravdinsk,60.05,69.9,18.37,77,8,2.21,RU,2023-07-03 21:59:36
25,ushuaia,-54.8,-68.3,5.81,52,20,5.14,AR,2023-07-03 21:57:48
26,kavaratti,10.5669,72.642,27.38,78,100,14.7,IN,2023-07-03 21:59:36
27,yellowknife,62.456,-114.3525,20.31,32,20,2.06,CA,2023-07-03 21:59:36
28,hermanus,-34.4187,19.2345,9.33,79,95,2.13,ZA,2023-07-03 21:59:36
29,dikson,73.5069,80.5464,3.09,85,24,6.9,RU,2023-07-03 21:59:36
30,camacupa,-12.0167,17.4833,12.93,39,3,1.54,AO,2023-07-03 21:59:37
31,kuito,-12.3833,16.9333,11.37,42,1,1.55,AO,2023-07-03 21:59:37
32,saint-philippe,-21.3585,55.7679,19.77,76,94,5.72,RE,2023-07-03 21:59:37
33,biak,-0.9131,122.8766,24.29,84,99,1.43,ID,2023-07-03 21:59:37
34,kavieng,-2.5744,150.7967,28.23,79,100,4.98,PG,2023-07-03 21:59:37
35,maragogi,-9.0122,-35.2225,23.56,87,100,4.79,BR,2023-07-03 21:59:38
36,jamestown,42.097,-79.2353,24.45,81,40,5.14,US,2023-07-03 21:59:38
37,upernavik,72.7868,-56.1549,4.83,75,63,4.29,GL,2023-07-03 21:59:38
38,yeniseysk,58.4497,92.1703,11.42,90,78,1.36,RU,2023-07-03 21:59:38
